,Experiment_ID,Algorithm,N,R,range_flag,type,seed,kproj,w,M,probes,Average AF,Recall@N,QPS,tApproximateAverage,tTrueAverage
117,118,hypercube,1,2000.0,false,protein,1,4,8.0,100,2,1.95368,0.0,51791.1,1.93083,0.00510519
118,119,hypercube,1,2000.0,false,protein,1,4,8.0,100,4,1.95368,0.0,53571.4,1.86667,0.00490922
119,120,hypercube,1,2000.0,false,protein,1,4,8.0,100,6,1.95368,0.0,54397.1,1.83833,0.00494638
120,121,hypercube,1,2000.0,false,protein,1,4,8.0,100,8,1.95368,0.0,52980.1,1.8875,0.00488399
121,122,hypercube,1,2000.0,false,protein,1,4,8.0,100,10,1.95368,0.0,44560.0,2.24417,0.00490955
122,123,hypercube,1,2000.0,false,protein,1,4,8.0,100,12,1.95368,0.0,49792.5,2.00833,0.00497997
123,124,hypercube,1,2000.0,false,protein,1,4,8.0,100,14,1.95368,0.0,51612.9,1.9375,0.00490616
124,125,hypercube,1,2000.0,false,protein,1,4,8.0,100,16,1.95368,0.0,50632.9,1.975,0.00496275
125,126,hypercube,1,2000.0,false,protein,1,4,8.0,100,18,1.95368,0.0,46966.7,2.12917,0.00494613
126,127,hypercube,1,2000.0,false,protein,1,4,8.0,1000,2,1.75008,0.0,5593.88,0.000178767,0.0049535
127,128,hypercube,1,2000.0,false,protein,1,4,8.0,1000,4,1.75008,0.0,5797.38,0.000172492,0.00506468
128,129,hypercube,1,2000.0,false,protein,1,4,8.0,1000,6,1.75008,0.0,5919.2,0.000168942,0.00499508
129,130,hypercube,1,2000.0,false,protein,1,4,8.0,1000,8,1.75008,0.0,5819.59,0.000171833,0.00491717
130,131,hypercube,1,2000.0,false,protein,1,4,8.0,1000,10,1.75008,0.0,5811.42,0.000172075,0.00491679
131,132,hypercube,1,2000.0,false,protein,1,4,8.0,1000,12,1.75008,0.0,5836.29,0.000171342,0.00497062
132,133,hypercube,1,2000.0,false,protein,1,4,8.0,1000,14,1.75008,0.0,5854.8,0.0001708,0.00486967
133,134,hypercube,1,2000.0,false,protein,1,4,8.0,1000,16,1.75008,0.0,5820.72,0.0001718,0.00497205
134,135,hypercube,1,2000.0,false,protein,1,4,8.0,1000,18,1.75008,0.0,5850.8,0.000170917,0.00499757
135,136,hypercube,1,2000.0,false,protein,1,4,8.0,10000,2,1.13824,0.0833333,531.084,0.00188294,0.00516313
136,137,hypercube,1,2000.0,false,protein,1,4,8.0,10000,4,1.13824,0.0833333,561.661,0.00178043,0.00505908
137,138,hypercube,1,2000.0,false,protein,1,4,8.0,10000,6,1.13824,0.0833333,533.965,0.00187278,0.00493317
138,139,hypercube,1,2000.0,false,protein,1,4,8.0,10000,8,1.13824,0.0833333,542.287,0.00184404,0.00501351
139,140,hypercube,1,2000.0,false,protein,1,4,8.0,10000,10,1.13824,0.0833333,530.696,0.00188432,0.00493908
140,141,hypercube,1,2000.0,false,protein,1,4,8.0,10000,12,1.13824,0.0833333,546.543,0.00182968,0.00502077
141,142,hypercube,1,2000.0,false,protein,1,4,8.0,10000,14,1.13824,0.0833333,552.934,0.00180853,0.00501561
